n,implementation,workers,serial_overall_s,serial_computation_s,communication_blocking_s,empirical,model,predicted_overall_s,rp,rs,x
125000000,mpi,4,17.51841,16.90903,0.015022,3.30319958623293,3.6108078071018803,4.8516594999999985,0.9643879190337639,0.03475531772672889,0.0008567632395072455
125000000,hybrid,16,17.51841,16.90903,0.015697,8.019737119188138,10.415898589170194,1.6818913749999982,0.9643507935704968,0.03475397977210913,0.0008952266573940721
126000000,mpi,4,17.730339,17.109008,0.019645,3.2999109431925517,3.605025834507875,4.918228000000001,0.963888643505256,0.03500459493371945,0.0011067615610245057
126000000,hybrid,16,17.730339,17.109008,0.017254,7.846070822157801,10.381380503987934,1.7078980000000015,0.9640185009877112,0.035009310840067316,0.0009721881722214385
127000000,mpi,4,17.882161,17.264729,0.011126,3.3140361008368227,3.6164004772545932,4.944740250000001,0.964871853896939,0.03450634866584337,0.000621797437217656
127000000,hybrid,16,17.882161,17.264729,0.145753,7.612044221143175,9.706798575599025,1.8422305625000008,0.9576664832104258,0.034248665708079135,0.008084851081495063
128000000,mpi,4,18.149325,17.478989,0.205489,3.178153975466891,3.45993232673518,5.245572250000002,0.9522836352359657,0.03652099116885648,0.01119537359517781
128000000,hybrid,16,18.149325,17.478989,0.143653,7.257393119415548,9.520079344813203,1.9064258125000024,0.9555026524385476,0.036644443567362434,0.007852903994089971
129000000,mpi,4,18.371746,17.642733,0.010788,3.311305004209482,3.5669939190669298,5.150484250000002,0.9597552219949652,0.03965791658538503,0.000586861419649761
129000000,hybrid,16,18.371746,17.642733,0.013654,8.027802308483887,9.955763045417996,1.845337812500002,0.9596056109739249,0.03965173452848458,0.0007426544975904794
