n,implementation,repeat,overall_s,computation_s,prime_count,sha256,source
106000000,serial,1,14.056306,13.540677,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\serial_run_1.txt
106000000,openmp,1,3.999769,3.475033,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\openmp_run_1.txt
106000000,mpi,1,4.338305,3.394305,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\mpi_run_1.txt
106000000,hybrid,1,1.820461,0.897341,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\hybrid_run_1.txt
106000000,serial,2,14.038396,13.557224,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\serial_run_2.txt
106000000,openmp,2,4.063112,3.538988,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\openmp_run_2.txt
106000000,mpi,2,4.274347,3.387693,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\mpi_run_2.txt
106000000,hybrid,2,1.807328,0.880921,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\hybrid_run_2.txt
106000000,serial,3,14.007083,13.529043,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\serial_run_3.txt
106000000,openmp,3,4.050393,3.480465,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\openmp_run_3.txt
106000000,mpi,3,4.345967,3.389013,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\mpi_run_3.txt
106000000,hybrid,3,1.819618,0.853243,6086767,b4da3ce019c2c76368a9707bb7540dc665b534f5f47e98860c97d522b5a02e2d,dataset_106000000_130920\hybrid_run_3.txt
107000000,serial,1,14.14967,13.704996,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\serial_run_1.txt
107000000,openmp,1,4.051062,3.530278,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\openmp_run_1.txt
107000000,mpi,1,4.31673,3.440029,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\mpi_run_1.txt
107000000,hybrid,1,1.949457,0.970407,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\hybrid_run_1.txt
107000000,serial,2,14.208026,13.708771,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\serial_run_2.txt
107000000,openmp,2,4.071577,3.527957,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\openmp_run_2.txt
107000000,mpi,2,4.331478,3.438757,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\mpi_run_2.txt
107000000,hybrid,2,1.891595,0.902897,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\hybrid_run_2.txt
107000000,serial,3,14.267344,13.709506,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\serial_run_3.txt
107000000,openmp,3,4.047334,3.532576,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\openmp_run_3.txt
107000000,mpi,3,4.347048,3.43834,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\mpi_run_3.txt
107000000,hybrid,3,1.984375,0.994998,6140828,f90e777a23b86770063b5533343d4898ddb67a33cd58f8745ab1de2e84b4a417,dataset_107000000_130921\hybrid_run_3.txt
108000000,serial,1,14.35051,13.884578,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\serial_run_1.txt
108000000,openmp,1,4.167087,3.571012,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\openmp_run_1.txt
108000000,mpi,1,4.409875,3.474362,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\mpi_run_1.txt
108000000,hybrid,1,1.860743,0.876286,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\hybrid_run_1.txt
108000000,serial,2,14.421355,13.876985,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\serial_run_2.txt
108000000,openmp,2,4.105727,3.571187,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\openmp_run_2.txt
108000000,mpi,2,4.413854,3.476988,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\mpi_run_2.txt
108000000,hybrid,2,1.906171,0.968225,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\hybrid_run_2.txt
108000000,serial,3,14.438197,13.922189,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\serial_run_3.txt
108000000,openmp,3,4.281521,3.679875,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\openmp_run_3.txt
108000000,mpi,3,4.415276,3.493034,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\mpi_run_3.txt
108000000,hybrid,3,2.078873,0.878371,6194963,a8546726b5261487d26cf2ecb8df64a50bc1be062a08b2a1c2d57fe0cf1157e5,dataset_108000000_130922\hybrid_run_3.txt
109000000,serial,1,14.721455,14.153201,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\serial_run_1.txt
109000000,openmp,1,4.207271,3.673039,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\openmp_run_1.txt
109000000,mpi,1,4.606198,3.598317,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\mpi_run_1.txt
109000000,hybrid,1,2.021749,0.922311,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\hybrid_run_1.txt
109000000,serial,2,14.880509,14.372117,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\serial_run_2.txt
109000000,openmp,2,4.305274,3.730019,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\openmp_run_2.txt
109000000,mpi,2,4.530049,3.632607,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\mpi_run_2.txt
109000000,hybrid,2,1.840993,0.896095,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\hybrid_run_2.txt
109000000,serial,3,15.087141,14.550983,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\serial_run_3.txt
109000000,openmp,3,4.31365,3.76222,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\openmp_run_3.txt
109000000,mpi,3,4.668433,3.694423,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\mpi_run_3.txt
109000000,hybrid,3,2.040176,0.891322,6249178,30fc391e550d4c024583bf9aa8cba9fe91aa7c65d44b4727bf7e43a4aef8c39e,dataset_109000000_130923\hybrid_run_3.txt
110000000,serial,1,14.958374,14.396792,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\serial_run_1.txt
110000000,openmp,1,4.204728,3.688334,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\openmp_run_1.txt
110000000,mpi,1,4.475318,3.5603,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\mpi_run_1.txt
110000000,hybrid,1,1.872182,0.89686,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\hybrid_run_1.txt
110000000,serial,2,14.96086,14.447195,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\serial_run_2.txt
110000000,openmp,2,4.278197,3.729952,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\openmp_run_2.txt
110000000,mpi,2,4.571947,3.599296,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\mpi_run_2.txt
110000000,hybrid,2,2.001192,0.998093,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\hybrid_run_2.txt
110000000,serial,3,14.780767,14.301327,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\serial_run_3.txt
110000000,openmp,3,4.152372,3.641512,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\openmp_run_3.txt
110000000,mpi,3,4.618859,3.69218,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\mpi_run_3.txt
110000000,hybrid,3,1.978784,0.900099,6303309,bda7ced75925c95d828036efd0cf3512bb605e6138941b534a53823d5436df62,dataset_110000000_130924\hybrid_run_3.txt
111000000,serial,1,15.013715,14.523914,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\serial_run_1.txt
111000000,openmp,1,4.231259,3.699903,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\openmp_run_1.txt
111000000,mpi,1,4.485715,3.602872,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\mpi_run_1.txt
111000000,hybrid,1,1.865086,0.944615,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\hybrid_run_1.txt
111000000,serial,2,14.869746,14.399044,6357241,67e47b0bf8af03d674f47cf2d6162f992a09122b7db292cf30fad90fd82e1b7f,dataset_111000000_130925\serial_run_2.txt
